graph_type,num_sensors,noise,amplitude,num_edges,mean_degree,mean_anomaly_degree,trace_L,trace_L2,lambda_2,lambda_max,tau,pfa,pd,repetition
path,10,0.1,0.5,9,1.8,1.812,18.0,52.0,0.09788696740969276,3.902113032590307,0.5007967310209381,0.0145,0.644,0
path,10,0.1,0.5,9,1.8,1.814,18.0,52.0,0.09788696740969276,3.902113032590307,0.4909026325117899,0.0095,0.653,1
path,10,0.1,0.5,9,1.8,1.809,18.0,52.0,0.09788696740969276,3.902113032590307,0.5067277402521912,0.0105,0.637,2
path,10,0.1,0.5,9,1.8,1.813,18.0,52.0,0.09788696740969276,3.902113032590307,0.5116575440338115,0.01,0.633,3
path,10,0.1,0.5,9,1.8,1.789,18.0,52.0,0.09788696740969276,3.902113032590307,0.5206010234664054,0.011,0.609,4
path,10,0.1,0.5,9,1.8,1.7975,18.0,52.0,0.09788696740969276,3.902113032590307,0.5086910490035882,0.0115,0.6385,5
path,10,0.1,0.5,9,1.8,1.794,18.0,52.0,0.09788696740969276,3.902113032590307,0.4924109710942503,0.0085,0.654,6
path,10,0.1,0.5,9,1.8,1.793,18.0,52.0,0.09788696740969276,3.902113032590307,0.4989956544909297,0.012,0.642,7
path,10,0.1,0.5,9,1.8,1.808,18.0,52.0,0.09788696740969276,3.902113032590307,0.5268565510857725,0.0085,0.591,8
path,10,0.1,0.5,9,1.8,1.785,18.0,52.0,0.09788696740969276,3.902113032590307,0.49077805100604355,0.011,0.6585,9
path,10,0.1,0.5,9,1.8,1.805,18.0,52.0,0.09788696740969276,3.902113032590307,0.5000403416203202,0.0105,0.636,10
path,10,0.1,0.5,9,1.8,1.8025,18.0,52.0,0.09788696740969276,3.902113032590307,0.5016646969478287,0.013,0.6395,11
path,10,0.1,0.5,9,1.8,1.79,18.0,52.0,0.09788696740969276,3.902113032590307,0.5156719991099491,0.01,0.5995,12
path,10,0.1,0.5,9,1.8,1.7895,18.0,52.0,0.09788696740969276,3.902113032590307,0.5050872285031123,0.008,0.639,13
path,10,0.1,0.5,9,1.8,1.7975,18.0,52.0,0.09788696740969276,3.902113032590307,0.48564213112341886,0.0125,0.6805,14
path,10,0.1,0.5,9,1.8,1.794,18.0,52.0,0.09788696740969276,3.902113032590307,0.49327659161065646,0.0105,0.6555,15
path,10,0.1,0.5,9,1.8,1.8005,18.0,52.0,0.09788696740969276,3.902113032590307,0.5088169266689871,0.014,0.646,16
path,10,0.1,0.5,9,1.8,1.8125,18.0,52.0,0.09788696740969276,3.902113032590307,0.5105130680959173,0.0105,0.643,17
path,10,0.1,0.5,9,1.8,1.7955,18.0,52.0,0.09788696740969276,3.902113032590307,0.5026994654529156,0.0115,0.641,18
path,10,0.1,0.5,9,1.8,1.796,18.0,52.0,0.09788696740969276,3.902113032590307,0.5105977560312472,0.008,0.621,19
path,10,0.1,1.0,9,1.8,1.7855,18.0,52.0,0.09788696740969276,3.902113032590307,0.5219302589667415,0.007,0.999,0
path,10,0.1,1.0,9,1.8,1.814,18.0,52.0,0.09788696740969276,3.902113032590307,0.5147930341668994,0.0075,1.0,1
path,10,0.1,1.0,9,1.8,1.806,18.0,52.0,0.09788696740969276,3.902113032590307,0.4998137175716366,0.0115,0.9985,2
path,10,0.1,1.0,9,1.8,1.8125,18.0,52.0,0.09788696740969276,3.902113032590307,0.5209817388084134,0.0085,0.999,3
path,10,0.1,1.0,9,1.8,1.7945,18.0,52.0,0.09788696740969276,3.902113032590307,0.538833478277884,0.0085,0.999,4
path,10,0.1,1.0,9,1.8,1.791,18.0,52.0,0.09788696740969276,3.902113032590307,0.518055169131058,0.006,1.0,5
path,10,0.1,1.0,9,1.8,1.801,18.0,52.0,0.09788696740969276,3.902113032590307,0.48570026954704215,0.013,0.9995,6
path,10,0.1,1.0,9,1.8,1.796,18.0,52.0,0.09788696740969276,3.902113032590307,0.5194354811478891,0.0075,0.9995,7
path,10,0.1,1.0,9,1.8,1.789,18.0,52.0,0.09788696740969276,3.902113032590307,0.5047762730130788,0.006,0.9995,8
path,10,0.1,1.0,9,1.8,1.787,18.0,52.0,0.09788696740969276,3.902113032590307,0.4913496845559958,0.0105,0.999,9
path,10,0.1,1.0,9,1.8,1.8005,18.0,52.0,0.09788696740969276,3.902113032590307,0.5271922896620026,0.0075,0.999,10
path,10,0.1,1.0,9,1.8,1.8065,18.0,52.0,0.09788696740969276,3.902113032590307,0.5367391482496129,0.005,0.9995,11
path,10,0.1,1.0,9,1.8,1.7915,18.0,52.0,0.09788696740969276,3.902113032590307,0.5121541712389904,0.0105,0.999,12
path,10,0.1,1.0,9,1.8,1.805,18.0,52.0,0.09788696740969276,3.902113032590307,0.4819329797315548,0.014,1.0,13
path,10,0.1,1.0,9,1.8,1.7945,18.0,52.0,0.09788696740969276,3.902113032590307,0.5154650097368277,0.009,1.0,14
path,10,0.1,1.0,9,1.8,1.805,18.0,52.0,0.09788696740969276,3.902113032590307,0.4902688327317631,0.0105,0.999,15
path,10,0.1,1.0,9,1.8,1.801,18.0,52.0,0.09788696740969276,3.902113032590307,0.4784419247024024,0.018,1.0,16
path,10,0.1,1.0,9,1.8,1.788,18.0,52.0,0.09788696740969276,3.902113032590307,0.49802643058304463,0.0125,1.0,17
path,10,0.1,1.0,9,1.8,1.7975,18.0,52.0,0.09788696740969276,3.902113032590307,0.5232003151152946,0.006,1.0,18
path,10,0.1,1.0,9,1.8,1.7845,18.0,52.0,0.09788696740969276,3.902113032590307,0.4945411713785864,0.0105,1.0,19
path,10,0.1,1.5,9,1.8,1.8025,18.0,52.0,0.09788696740969276,3.902113032590307,0.5142540351808337,0.0095,1.0,0
path,10,0.1,1.5,9,1.8,1.792,18.0,52.0,0.09788696740969276,3.902113032590307,0.5171468091178777,0.0095,1.0,1
path,10,0.1,1.5,9,1.8,1.7995,18.0,52.0,0.09788696740969276,3.902113032590307,0.48469959035298,0.016,1.0,2
path,10,0.1,1.5,9,1.8,1.806,18.0,52.0,0.09788696740969276,3.902113032590307,0.5131887253255106,0.015,1.0,3
path,10,0.1,1.5,9,1.8,1.8135,18.0,52.0,0.09788696740969276,3.902113032590307,0.4916240502651378,0.0115,1.0,4
path,10,0.1,1.5,9,1.8,1.802,18.0,52.0,0.09788696740969276,3.902113032590307,0.48376054286407794,0.0125,1.0,5
path,10,0.1,1.5,9,1.8,1.807,18.0,52.0,0.09788696740969276,3.902113032590307,0.4968608802535081,0.0095,1.0,6
path,10,0.1,1.5,9,1.8,1.7945,18.0,52.0,0.09788696740969276,3.902113032590307,0.4943870518005484,0.008,1.0,7
path,10,0.1,1.5,9,1.8,1.802,18.0,52.0,0.09788696740969276,3.902113032590307,0.49892416396038847,0.008,1.0,8
path,10,0.1,1.5,9,1.8,1.8055,18.0,52.0,0.09788696740969276,3.902113032590307,0.5500145678901873,0.0045,1.0,9
path,10,0.1,1.5,9,1.8,1.8005,18.0,52.0,0.09788696740969276,3.902113032590307,0.47919552188667,0.0095,1.0,10
