graph_type,num_sensors,noise,amplitude,num_edges_mean,num_edges_ci95,mean_degree_mean,mean_degree_ci95,mean_anomaly_degree_mean,mean_anomaly_degree_ci95,trace_L_mean,trace_L_ci95,trace_L2_mean,trace_L2_ci95,lambda_2_mean,lambda_2_ci95,lambda_max_mean,lambda_max_ci95,tau_mean,tau_ci95,pfa_mean,pfa_ci95,pd_mean,pd_ci95,gesnr,log_gesnr,pd_predicted,residual,abs_residual
grid,10,0.1,0.5,13.0,0.0,2.6000000000000005,1.9968686188423e-16,2.6036750000000004,0.0054644048696035,26.0,0.0,98.0,0.0,0.4568527285104064,2.4960857735528755e-17,5.941623247098444,3.9937372376846e-16,0.701942533040881,0.0102569789293469,0.01035,0.0017358365797444,0.67115,0.0122878211935318,4.6494196428571435,1.536742403822389,0.7693009798664089,-0.09815097986640886,0.09815097986640886
grid,10,0.1,1.0,13.0,0.0,2.6000000000000005,1.9968686188423e-16,2.59685,0.0066360660667375,26.0,0.0,98.0,0.0,0.4568527285104064,2.4960857735528755e-17,5.941623247098444,3.9937372376846e-16,0.7073010850835163,0.0125250230987952,0.01125,0.0014717182939822,1.0,0.0,18.54892857142857,2.9204120284326938,0.991402503962501,0.008597496037499042,0.008597496037499042
grid,10,0.1,1.5,13.0,0.0,2.6000000000000005,1.9968686188423e-16,2.5963750000000005,0.0049117845133172,26.0,0.0,98.0,0.0,0.4568527285104064,2.4960857735528755e-17,5.941623247098444,3.9937372376846e-16,0.6975015817752539,0.0099723756678955,0.010125,0.0013893443171435,1.0,0.0,41.727455357142865,3.731159314003297,0.9989136008334794,0.0010863991665206463,0.0010863991665206463
grid,10,0.1,2.0,13.0,0.0,2.6000000000000005,1.9968686188423e-16,2.599225,0.0060266645178345,26.0,0.0,98.0,0.0,0.4568527285104064,2.4960857735528755e-17,5.941623247098444,3.9937372376846e-16,0.7072369374809604,0.0112837974435107,0.009875,0.0013893443171435,1.0,0.0,74.26357142857142,4.307620541163327,0.9997515432253584,0.0002484567746415811,0.0002484567746415811
grid,10,0.1,3.0,13.0,0.0,2.6000000000000005,1.9968686188423e-16,2.600725,0.0066461034844723,26.0,0.0,98.0,0.0,0.4568527285104064,2.4960857735528755e-17,5.941623247098444,3.9937372376846e-16,0.7021430508386552,0.0097845195876595,0.010525,0.0013366836219776,1.0,0.0,167.18946428571428,5.119127686019971,0.9999688943193433,3.110568065667341e-05,3.110568065667341e-05
grid,10,0.2,0.5,13.0,0.0,2.6000000000000005,1.9968686188423e-16,2.603625,0.0052481072026518,26.0,0.0,98.0,0.0,0.4568527285104064,2.4960857735528755e-17,5.941623247098444,3.9937372376846e-16,2.8130287889048224,0.0453719762808693,0.010125,0.001165801170192,0.1021,0.0075481767195445,1.1623325892857141,0.15042883889246147,0.0874094877021961,0.014690512297803895,0.014690512297803895
grid,10,0.2,1.0,13.0,0.0,2.6000000000000005,1.9968686188423e-16,2.6031999999999997,0.0048909136806509,26.0,0.0,98.0,0.0,0.4568527285104064,2.4960857735528755e-17,5.941623247098444,3.9937372376846e-16,2.7822919756202094,0.0406126652338454,0.0117,0.0017435362734517,0.685825,0.0124470508259249,4.648571428571428,1.5365599527355782,0.7692180489722921,-0.08339304897229205,0.08339304897229205
grid,10,0.2,1.5,13.0,0.0,2.6000000000000005,1.9968686188423e-16,2.6028,0.0061532106125262,26.0,0.0,98.0,0.0,0.4568527285104064,2.4960857735528755e-17,5.941623247098444,3.9937372376846e-16,2.8258169267854623,0.035956250835375,0.0095,0.0010852436059293,0.987075,0.0013287186348231,10.45767857142857,2.347336500107963,0.9637406886899803,0.02333431131001973,0.02333431131001973
grid,10,0.2,2.0,13.0,0.0,2.6000000000000005,1.9968686188423e-16,2.5941750000000003,0.0069070975357541,26.0,0.0,98.0,0.0,0.4568527285104064,2.4960857735528755e-17,5.941623247098444,3.9937372376846e-16,2.791782096350769,0.0363840143449283,0.01,0.0013109578659574,0.999975,4.89999999999946e-05,18.52982142857143,2.9193814033685577,0.9913799792493112,0.008595020750688742,0.008595020750688742
grid,10,0.2,3.0,13.0,0.0,2.6000000000000005,1.9968686188423e-16,2.604375,0.0044959160122797,26.0,0.0,98.0,0.0,0.4568527285104064,2.4960857735528755e-17,5.941623247098444,3.9937372376846e-16,2.785669316770232,0.0286063902110788,0.01055,0.0010349390015078,1.0,0.0,41.856026785714285,3.7342357957837424,0.9989221168993039,0.0010778831006961198,0.0010778831006961198
