split,graph_type,num_sensors,noise,amplitude,repetition,node_degree,trials,successes,observed_pd,num_edges,mean_degree,degree_std,degree_cv,trace_L,trace_L2,lambda_2,lambda_max,tau,pfa,R_mean,R_local,R_full
train,path,12,0.1,0.75,0,1.0,510,411,0.8058823529411765,11,1.8333333333333333,0.3726779962499649,0.20327890704543541,22.0,64.0,0.06814834742186336,3.9318516525781355,0.598022641329365,0.0075,9.115048351232836,4.971844555217911,2.3396915553966644
train,path,12,0.1,0.75,0,2.0,2490,2456,0.9863453815261044,11,1.8333333333333333,0.3726779962499649,0.20327890704543541,22.0,64.0,0.06814834742186336,3.9318516525781355,0.598022641329365,0.0075,9.115048351232836,9.943689110435821,2.926276134652736
train,path,12,0.1,0.75,1,1.0,506,420,0.8300395256916996,11,1.8333333333333333,0.3726779962499649,0.20327890704543541,22.0,64.0,0.06814834742186336,3.9318516525781355,0.5705085908258347,0.011,9.115048351232836,4.971844555217911,2.3396915553966644
train,path,12,0.1,0.75,1,2.0,2494,2481,0.9947874899759422,11,1.8333333333333333,0.3726779962499649,0.20327890704543541,22.0,64.0,0.06814834742186336,3.9318516525781355,0.5705085908258347,0.011,9.115048351232836,9.943689110435821,2.926276134652736
train,path,12,0.1,0.75,2,1.0,492,375,0.7621951219512195,11,1.8333333333333333,0.3726779962499649,0.20327890704543541,22.0,64.0,0.06814834742186336,3.9318516525781355,0.5954635696349675,0.0095,9.115048351232836,4.971844555217911,2.3396915553966644
train,path,12,0.1,0.75,2,2.0,2508,2475,0.9868421052631579,11,1.8333333333333333,0.3726779962499649,0.20327890704543541,22.0,64.0,0.06814834742186336,3.9318516525781355,0.5954635696349675,0.0095,9.115048351232836,9.943689110435821,2.926276134652736
train,path,12,0.1,0.75,3,1.0,494,387,0.7834008097165992,11,1.8333333333333333,0.3726779962499649,0.20327890704543541,22.0,64.0,0.06814834742186336,3.9318516525781355,0.5914206056766351,0.0075,9.115048351232836,4.971844555217911,2.3396915553966644
train,path,12,0.1,0.75,3,2.0,2506,2480,0.9896249002394254,11,1.8333333333333333,0.3726779962499649,0.20327890704543541,22.0,64.0,0.06814834742186336,3.9318516525781355,0.5914206056766351,0.0075,9.115048351232836,9.943689110435821,2.926276134652736
train,path,12,0.1,0.75,4,1.0,465,335,0.7204301075268817,11,1.8333333333333333,0.3726779962499649,0.20327890704543541,22.0,64.0,0.06814834742186336,3.9318516525781355,0.5892295517467769,0.0095,9.115048351232836,4.971844555217911,2.3396915553966644
train,path,12,0.1,0.75,4,2.0,2535,2503,0.9873767258382643,11,1.8333333333333333,0.3726779962499649,0.20327890704543541,22.0,64.0,0.06814834742186336,3.9318516525781355,0.5892295517467769,0.0095,9.115048351232836,9.943689110435821,2.926276134652736
train,path,12,0.1,0.75,5,1.0,492,424,0.8617886178861789,11,1.8333333333333333,0.3726779962499649,0.20327890704543541,22.0,64.0,0.06814834742186336,3.9318516525781355,0.5407661484825089,0.0125,9.115048351232836,4.971844555217911,2.3396915553966644
train,path,12,0.1,0.75,5,2.0,2508,2498,0.9960127591706539,11,1.8333333333333333,0.3726779962499649,0.20327890704543541,22.0,64.0,0.06814834742186336,3.9318516525781355,0.5407661484825089,0.0125,9.115048351232836,9.943689110435821,2.926276134652736
train,path,12,0.1,0.75,6,1.0,487,388,0.7967145790554415,11,1.8333333333333333,0.3726779962499649,0.20327890704543541,22.0,64.0,0.06814834742186336,3.9318516525781355,0.5658164710715461,0.0135,9.115048351232836,4.971844555217911,2.3396915553966644
train,path,12,0.1,0.75,6,2.0,2513,2495,0.9928372463191405,11,1.8333333333333333,0.3726779962499649,0.20327890704543541,22.0,64.0,0.06814834742186336,3.9318516525781355,0.5658164710715461,0.0135,9.115048351232836,9.943689110435821,2.926276134652736
train,path,12,0.1,0.75,7,1.0,512,440,0.859375,11,1.8333333333333333,0.3726779962499649,0.20327890704543541,22.0,64.0,0.06814834742186336,3.9318516525781355,0.5460067426889762,0.0125,9.115048351232836,4.971844555217911,2.3396915553966644
train,path,12,0.1,0.75,7,2.0,2488,2474,0.9943729903536977,11,1.8333333333333333,0.3726779962499649,0.20327890704543541,22.0,64.0,0.06814834742186336,3.9318516525781355,0.5460067426889762,0.0125,9.115048351232836,9.943689110435821,2.926276134652736
train,path,12,0.1,0.75,8,1.0,520,420,0.8076923076923077,11,1.8333333333333333,0.3726779962499649,0.20327890704543541,22.0,64.0,0.06814834742186336,3.9318516525781355,0.5490849810981029,0.014,9.115048351232836,4.971844555217911,2.3396915553966644
train,path,12,0.1,0.75,8,2.0,2480,2468,0.9951612903225806,11,1.8333333333333333,0.3726779962499649,0.20327890704543541,22.0,64.0,0.06814834742186336,3.9318516525781355,0.5490849810981029,0.014,9.115048351232836,9.943689110435821,2.926276134652736
train,path,12,0.1,0.75,9,1.0,497,395,0.7947686116700201,11,1.8333333333333333,0.3726779962499649,0.20327890704543541,22.0,64.0,0.06814834742186336,3.9318516525781355,0.5807597206455015,0.0055,9.115048351232836,4.971844555217911,2.3396915553966644
