method,success,a,b,NLL,NLL_per_trial,gradient_a,gradient_b,gradient_norm,hessian_min_eigenvalue,hessian_max_eigenvalue,hessian_positive_definite,iterations,function_evaluations,message,start_id,initial_a,initial_b,criterion
L-BFGS-B,True,4.364460898492968,-2.1627044655701915,2097674.3719394915,0.24278638564114485,-1.43554643727839e-08,-1.1142401490360498e-07,1.1234496185676086e-07,67913.87326624061,911260.7996609368,True,15,22,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0,-5.0,-5.0,R_full
L-BFGS-B,True,4.36446089848261,-2.162704465558068,2097674.3719394915,0.24278638564114485,1.227970642503351e-06,3.5107077565044165e-06,3.719271548358679e-06,67913.87326665391,911260.7996612226,True,14,15,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,1,-2.0,2.0,R_full
L-BFGS-B,True,4.364460898686506,-2.1627044656425283,2097674.3719394915,0.24278638564114485,3.7720958061981946e-05,3.0347975553013384e-05,4.841353423661713e-05,67913.8732597798,911260.7996021826,True,14,15,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2,0.0,0.0,R_full
L-BFGS-B,True,4.3644608985314814,-2.162704467053778,2097674.3719394915,0.24278638564114485,-0.0005732283898396417,-0.0009291362875956111,0.0010917348706737833,67913.87325294211,911260.8001581917,True,12,13,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,3,1.0,-1.0,R_full
L-BFGS-B,True,4.36446089850188,-2.1627044656077685,2097674.3719394915,0.24278638564114485,-1.1813113815151155e-05,-2.0505212887655944e-05,2.3664602544260203e-05,67913.87326566319,911260.7996700946,True,13,14,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,4,2.0,-2.0,R_full
L-BFGS-B,True,4.364460898600692,-2.162704465755475,2097674.3719394915,0.24278638564114485,-3.6332661693450063e-05,-7.54578213673085e-05,8.374929916859802e-05,67913.87326145885,911260.799678471,True,12,13,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,5,3.0,-3.0,R_full
L-BFGS-B,True,4.364460898788122,-2.162704465567597,2097674.371939492,0.2427863856411449,0.00010216385271633044,0.00011820447980426252,0.0001562362053035095,67913.87325731083,911260.7995322198,True,12,13,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,6,5.0,-5.0,R_full
L-BFGS-B,True,4.364460898492347,-2.1627044655695773,2097674.3719394915,0.24278638564114485,1.560692908242345e-08,3.408058546483517e-08,3.748416386968941e-08,67913.8732662645,911260.799660993,True,15,16,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,7,8.0,-8.0,R_full
L-BFGS-B,True,4.364460898484786,-2.1627044656136314,2097674.371939492,0.2427863856411449,-1.9988750864285976e-05,-3.099334571743384e-05,3.6880043924524655e-05,67913.87326613368,911260.7996795282,True,11,14,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,8,10.0,0.0,R_full
L-BFGS-B,True,4.364460898472204,-2.1627044655740093,2097674.3719394915,0.24278638564114485,-8.639442967250943e-06,-1.0748604836408049e-05,1.3790303865892016e-05,67913.87326683913,911260.7996712512,True,13,15,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,9,1.0,5.0,R_full
