source,source_name,a,b,NLL,gradient_norm
optimizer,BFGS,3.042610981147304,-3.0551679790928845,2005139.372256842,1.9045600926545507e-08
optimizer,L-BFGS-B,3.042610981051894,-3.05516797888357,2005139.372256842,8.165484220859639e-05
optimizer,Nelder-Mead,3.0426109768799927,-3.05516798897193,2005139.372256842,0.014317344525963078
optimizer,Powell,3.042610982499135,-3.055167971890244,2005139.3722568417,0.008327983376911631
multistart,start_0,3.042610980554645,-3.055167978820499,2005139.372256842,0.00046129393912328325
multistart,start_1,3.042610969073382,-3.0551679598305594,2005139.3722568417,0.0038023023602729053
multistart,start_2,3.042610981133577,-3.0551679790788415,2005139.372256842,3.7708027725872605e-06
multistart,start_3,3.0426109811829893,-3.0551679791856436,2005139.372256842,4.394153956593365e-05
multistart,start_4,3.042610981051894,-3.05516797888357,2005139.372256842,8.165484220859639e-05
multistart,start_5,3.042610981147395,-3.0551679790929867,2005139.372256842,2.460858051925226e-09
multistart,start_6,3.042610985538805,-3.05516798117692,2005139.372256842,0.003357553361173251
multistart,start_7,3.042610981146827,-3.0551679790959185,2005139.372256842,3.4135078501256534e-06
multistart,start_8,3.0426109800575203,-3.0551679801010554,2005139.3722568422,0.0022470410881779875
multistart,start_9,3.0426109810957005,-3.0551679790676407,2005139.372256842,3.877818645612694e-05
