method,success,a,b,NLL,NLL_per_trial,gradient_a,gradient_b,gradient_norm,hessian_min_eigenvalue,hessian_max_eigenvalue,hessian_positive_definite,iterations,function_evaluations,message,start_id,initial_a,initial_b,criterion
L-BFGS-B,True,3.042610980554645,-3.055167978820499,2005139.372256842,0.23207631623343078,-0.0003901195632352028,-0.00024616828522994183,0.00046129393912328325,75960.074945422,1519455.2827622034,True,12,18,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0,-5.0,-5.0,R_local
L-BFGS-B,True,3.042610969073382,-3.0551679598305594,2005139.3722568417,0.23207631623343075,0.0016318375455739442,0.003434328094954253,0.0038023023602729053,75960.07569105522,1519455.285349762,True,17,45,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,1,-2.0,2.0,R_local
L-BFGS-B,True,3.042610981133577,-3.0551679790788415,2005139.372256842,0.23207631623343078,-3.6519304558169097e-06,-9.393388609169051e-07,3.7708027725872605e-06,75960.07491818565,1519455.2821924496,True,15,17,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2,0.0,0.0,R_local
L-BFGS-B,True,3.0426109811829893,-3.0551679791856436,2005139.372256842,0.23207631623343078,-2.9869239369872957e-05,-3.2228674172074534e-05,4.394153956593365e-05,75960.07491460512,1519455.2821970661,True,14,15,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,3,1.0,-1.0,R_local
L-BFGS-B,True,3.042610981051894,-3.05516797888357,2005139.372256842,0.23207631623343078,5.2763325584237464e-05,6.23180931142997e-05,8.165484220859639e-05,75960.07492438203,1519455.2821730573,True,11,14,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,4,2.0,-2.0,R_local
L-BFGS-B,True,3.042610981147395,-3.0551679790929867,2005139.372256842,0.23207631623343078,-1.04046193882823e-09,-2.23008100874722e-09,2.460858051925226e-09,75960.07491741725,1519455.2821838632,True,5,8,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,5,3.0,-3.0,R_local
L-BFGS-B,True,3.042610985538805,-3.05516798117692,2005139.372256842,0.23207631623343078,0.0028446609485399676,0.0017835550625022734,0.003357553361173251,75960.07470897789,1519455.2779401718,True,11,16,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,6,5.0,-5.0,R_local
L-BFGS-B,True,3.042610981146827,-3.0551679790959185,2005139.372256842,0.23207631623343078,-2.60536398855038e-06,-2.2054737200960517e-06,3.4135078501256534e-06,75960.07491739694,1519455.2821864234,True,11,13,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,7,8.0,-8.0,R_local
L-BFGS-B,True,3.0426109800575203,-3.0551679801010554,2005139.3722568422,0.2320763162334308,-0.0017714552996039856,-0.001382439790177159,0.0022470410881779875,75960.07494654559,1519455.2841953286,True,13,18,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,8,10.0,0.0,R_local
L-BFGS-B,True,3.0426109810957005,-3.0551679790676407,2005139.372256842,0.23207631623343078,-3.291895336587913e-05,-2.0496103388722986e-05,3.877818645612694e-05,75960.07491988328,1519455.2822333076,True,14,18,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,9,1.0,5.0,R_local
