source,source_name,a,b,NLL,gradient_norm
optimizer,BFGS,2.651532079773471,-2.801793357009199,2298267.976319913,8.381385901412514e-05
optimizer,L-BFGS-B,2.651532079807456,-2.801793356733526,2298267.976319913,0.00044729518952262666
optimizer,Nelder-Mead,2.651532131373261,-2.8017934319599744,2298267.976319913,0.008990411193486043
optimizer,Powell,2.651532077365935,-2.8017933374891424,2298267.9763199124,0.018191822132080978
multistart,start_0,2.651532079786367,-2.801793357028484,2298267.976319913,8.27076485367164e-05
multistart,start_1,2.6515320796203437,-2.801793356826907,2298267.976319913,5.1119462610521304e-05
multistart,start_2,2.6515320797138253,-2.801793356989759,2298267.976319913,1.3138037932218864e-05
multistart,start_3,2.6515320796258295,-2.8017933577218552,2298267.976319913,0.0009508366628063107
multistart,start_4,2.651532079807456,-2.801793356733526,2298267.976319913,0.00044729518952262666
multistart,start_5,2.65153207998961,-2.8017933571961575,2298267.976319913,0.00022000974137333277
multistart,start_6,2.651532079009449,-2.8017933562398936,2298267.9763199124,0.0002920374098957964
multistart,start_7,2.6515320799867084,-2.801793357409868,2298267.976319913,4.7957827303289915e-05
multistart,start_8,2.651532079756129,-2.8017933570593074,2298267.9763199124,1.2876800587915837e-09
multistart,start_9,2.6515320798149435,-2.8017933571276457,2298267.976319913,1.924528706284114e-05
