b,profile_a,profile_NLL,optimizer_success,delta_NLL
-3.8017933570593074,3.3180818481833554,2358036.5505583067,True,59768.57423839439
-3.785126690392641,3.3067666639106297,2356215.109997181,True,57947.13367726887
-3.768460023725974,3.2954574853741794,2354417.2113187644,True,56149.234998852015
-3.7517933570593076,3.2841543470854053,2352643.05189948,True,54375.07557956781
-3.7351266903926406,3.272857299738813,2350892.8311084406,True,52624.85478852829
-3.718460023725974,3.26156639675336,2349166.7503283815,True,50898.77400846919
-3.7017933570593073,3.2502816762037137,2347465.012976777,True,49197.03665686445
-3.6851266903926407,3.2390031837222963,2345787.824527129,True,47519.84820721671
-3.668460023725974,3.2277309650874004,2344135.3925304366,True,45867.41621052427
-3.6517933570593075,3.2164650668586687,2342507.92663684,True,44239.95031692786
-3.635126690392641,3.2052055358928353,2340905.6386174373,True,42637.66229752498
-3.6184600237259743,3.1939524195251816,2339328.7423862773,True,41060.766066364944
-3.6017933570593073,3.182705765630818,2337777.4540225295,True,39509.47770261718
-3.5851266903926406,3.171465622474839,2336251.9917928195,True,37984.01547290711
-3.568460023725974,3.1602320388104315,2334752.576173744,True,36484.59985383181
-3.5517933570593074,3.1490050639430422,2333279.4298745487,True,35011.45355463633
-3.535126690392641,3.1377847503854697,2331832.777859981,True,33564.80154006882
-3.518460023725974,3.1265711426671974,2330412.847373311,True,32144.871053398587
-3.5017933570593076,3.1153642944528284,2329019.8679595115,True,30751.89163959911
-3.485126690392641,3.1041642569924024,2327654.0714886123,True,29386.095168699976
-3.468460023725974,3.0929710820141354,2326315.6921792096,True,28047.715859297197
-3.4517933570593073,3.081784821782076,2325004.9666221435,True,26736.990302231163
-3.4351266903926407,3.0706055140456936,2323722.1338043255,True,25454.157484413125
-3.418460023725974,3.0594332424393738,2322467.435132733,True,24199.458812820725
-3.4017933570593075,3.0482680454919535,2321241.11445855,True,22973.138138637412
-3.385126690392641,3.037109977533751,2320043.4181014644,True,21775.441781552043
-3.368460023725974,3.025959093417637,2318874.5948741143,True,20606.61855420191
-3.3517933570593073,3.0148154485573744,2317734.896106676,True,19466.919786763843
-3.3351266903926406,3.0036790988560798,2316624.5756716034,True,18356.599351691082
-3.318460023725974,2.992550100820001,2315543.8900085017,True,17275.913688589353
-3.3017933570593074,2.981428511459831,2314493.0981491404,True,16225.12182922801
-3.285126690392641,2.9703144324296016,2313472.4617425986,True,15204.485422686208
-3.268460023725974,2.959207789616092,2312482.245080542,True,14214.268760629464
-3.2517933570593076,2.9481087739190563,2311522.7151226243,True,13254.738802711945
-3.235126690392641,2.9370174005334593,2310594.141522011,True,12326.165202098433
-3.218460023725974,2.9259337292590044,2309696.796651017,True,11428.820331104565
-3.2017933570593073,2.9148578206373807,2308830.955626864,True,10562.97930695163
-3.1851266903926407,2.9037897355748474,2307996.8963375413,True,9728.92001762893
-3.168460023725974,2.892729535456161,2307194.899467767,True,8926.92314785486
-3.1517933570593075,2.8816772823694006,2306425.2485250533,True,8157.272205140907
-3.135126690392641,2.870633039048631,2305688.2298658583,True,7420.253545945976
-3.118460023725974,2.859596868746434,2304984.132721828,True,6716.156401915476
-3.1017933570593073,2.8485688353342487,2304313.2492261156,True,6045.272906203289
-3.0851266903926406,2.837549003282764,2303675.8744397773,True,5407.898119864985
-3.068460023725974,2.8265374376481014,2303072.306378235,True,4804.330058322754
-3.0517933570593074,2.8155342041156275,2302502.8460377967,True,4234.869717884343
-3.035126690392641,2.8045393689174483,2301967.797422233,True,3699.8211023206823
-3.018460023725974,2.7935529989620997,2301467.467569402,True,3199.491249489598
-3.0017933570593076,2.782575161715,2301002.166577904,True,2734.190257991664
-2.985126690392641,2.7716059253003222,2300572.207633776,True,2304.231313863769
-2.968460023725974,2.7606453584248545,2300177.9070372013,True,1909.9307172889821
-2.9517933570593073,2.749693530404045,2299819.584229231,True,1551.6079093185253
-2.9351266903926407,2.738750511258053,2299497.561818517,True,1229.5854986044578
-2.918460023725974,2.7278163714861505,2299212.165608027,True,944.1892881146632
-2.9017933570593075,2.7168911823503574,2298963.724621757,True,695.7483018445782
-2.885126690392641,2.705975015676789,2298752.5711314073,True,484.59481149492785
-2.868460023725974,2.6950679439416048,2298579.0406830246,True,311.0643631122075
-2.8517933570593073,2.6841700403017357,2298443.4721236024,True,175.4958036900498
-2.8351266903926406,2.6732813784051683,2298346.2076276094,True,78.23130769701675
-2.818460023725974,2.6624020327125537,2298287.5927234655,True,19.61640355316922
-2.8017933570593074,2.651532082452511,2298267.976319913,True,4.656612873077393e-10
-2.785126690392641,2.6406715944740893,2298287.710732308,True,19.734412395861
-2.768460023725974,2.6298206497333347,2298347.1517087994,True,79.17538888705894
-2.7517933570593076,2.618979325145624,2298446.6584563763,True,178.6821364639327
-2.735126690392641,2.6081476983122025,2298586.59366679,True,318.61734687769786
-2.7184600237259744,2.5973258474485834,2298767.3235423183,True,499.34722240595147
-2.7017933570593073,2.5865138514417523,2298989.2178213615,True,721.2415014491417
-2.6851266903926407,2.575711789821151,2299252.6498038615,True,984.6734839491546
-2.668460023725974,2.5649197427722745,2299557.996376519,True,1290.020056606736
-2.6517933570593075,2.554137791112011,2299905.6380377947,True,1637.66171788238
-2.6351266903926405,2.543366016346123,2300295.9589226823,True,2027.9826027699746
-2.618460023725974,2.5326045006166167,2300729.3468272253,True,2461.3705073129386
-2.6017933570593073,2.521853326696606,2301206.1932327715,True,2938.2169128591195
-2.5851266903926406,2.511112583112247,2301726.8933299365,True,3458.91701002419
-2.568460023725974,2.5003823420036024,2302291.8460422615,True,4023.8697223491035
-2.5517933570593074,2.48966269556813,2302901.454049543,True,4633.4777296306565
-2.535126690392641,2.478953729069773,2303556.123810817,True,5288.1474909046665
-2.518460023725974,2.4682555284180845,2304256.2655869722,True,5988.289267059881
-2.5017933570593076,2.4575681802652998,2305002.293462973,True,6734.317143060733
-2.485126690392641,2.4468917946891953,2305794.6253696675,True,7526.649049755186
-2.4684600237259744,2.4362263912985225,2306633.683105161,True,8365.706785248592
-2.4517933570593073,2.425572121619433,2307519.892355727,True,9251.916035814676
-2.4351266903926407,2.414929078427705,2308453.682716232,True,10185.706396319438
-2.418460023725974,2.4042973011760482,2309435.4877100475,True,11167.511390135158
-2.4017933570593075,2.39367692198634,2310465.7448084317,True,12197.76848851936
-2.3851266903926405,2.383068019230283,2311544.8954493394,True,13276.919129427057
-2.368460023725974,2.3724706848981145,2312673.3850556426,True,14405.40873573022
