source,source_name,a,b,NLL,gradient_norm,criterion
optimizer,BFGS,2.651532079773471,-2.801793357009199,2298267.976319913,8.381385901412514e-05,R_mean
optimizer,L-BFGS-B,2.651532079807456,-2.801793356733526,2298267.976319913,0.00044729518952262666,R_mean
optimizer,Nelder-Mead,2.651532131373261,-2.8017934319599744,2298267.976319913,0.008990411193486043,R_mean
optimizer,Powell,2.651532077365935,-2.8017933374891424,2298267.9763199124,0.018191822132080978,R_mean
multistart,start_0,2.651532079786367,-2.801793357028484,2298267.976319913,8.27076485367164e-05,R_mean
multistart,start_1,2.6515320796203437,-2.801793356826907,2298267.976319913,5.1119462610521304e-05,R_mean
multistart,start_2,2.6515320797138253,-2.801793356989759,2298267.976319913,1.3138037932218864e-05,R_mean
multistart,start_3,2.6515320796258295,-2.8017933577218552,2298267.976319913,0.0009508366628063107,R_mean
multistart,start_4,2.651532079807456,-2.801793356733526,2298267.976319913,0.00044729518952262666,R_mean
multistart,start_5,2.65153207998961,-2.8017933571961575,2298267.976319913,0.00022000974137333277,R_mean
multistart,start_6,2.651532079009449,-2.8017933562398936,2298267.9763199124,0.0002920374098957964,R_mean
multistart,start_7,2.6515320799867084,-2.801793357409868,2298267.976319913,4.7957827303289915e-05,R_mean
multistart,start_8,2.651532079756129,-2.8017933570593074,2298267.9763199124,1.2876800587915837e-09,R_mean
multistart,start_9,2.6515320798149435,-2.8017933571276457,2298267.976319913,1.924528706284114e-05,R_mean
optimizer,BFGS,3.042610981147304,-3.0551679790928845,2005139.372256842,1.9045600926545507e-08,R_local
optimizer,L-BFGS-B,3.042610981051894,-3.05516797888357,2005139.372256842,8.165484220859639e-05,R_local
optimizer,Nelder-Mead,3.0426109768799927,-3.05516798897193,2005139.372256842,0.014317344525963078,R_local
optimizer,Powell,3.042610982499135,-3.055167971890244,2005139.3722568417,0.008327983376911631,R_local
multistart,start_0,3.042610980554645,-3.055167978820499,2005139.372256842,0.00046129393912328325,R_local
multistart,start_1,3.042610969073382,-3.0551679598305594,2005139.3722568417,0.0038023023602729053,R_local
multistart,start_2,3.042610981133577,-3.0551679790788415,2005139.372256842,3.7708027725872605e-06,R_local
multistart,start_3,3.0426109811829893,-3.0551679791856436,2005139.372256842,4.394153956593365e-05,R_local
multistart,start_4,3.042610981051894,-3.05516797888357,2005139.372256842,8.165484220859639e-05,R_local
multistart,start_5,3.042610981147395,-3.0551679790929867,2005139.372256842,2.460858051925226e-09,R_local
multistart,start_6,3.042610985538805,-3.05516798117692,2005139.372256842,0.003357553361173251,R_local
multistart,start_7,3.042610981146827,-3.0551679790959185,2005139.372256842,3.4135078501256534e-06,R_local
multistart,start_8,3.0426109800575203,-3.0551679801010554,2005139.3722568422,0.0022470410881779875,R_local
multistart,start_9,3.0426109810957005,-3.0551679790676407,2005139.372256842,3.877818645612694e-05,R_local
optimizer,BFGS,4.364460898455145,-2.162704465646558,2097674.371939492,7.69176973979406e-05,R_full
optimizer,L-BFGS-B,4.36446089850188,-2.1627044656077685,2097674.3719394915,2.3664602544260203e-05,R_full
optimizer,Nelder-Mead,4.364460912047109,-2.1627044650770717,2097674.3719394915,0.007455819754842207,R_full
optimizer,Powell,4.364432960761723,-2.1626923824752966,2097674.371986268,5.853653684479898,R_full
multistart,start_0,4.364460898492968,-2.1627044655701915,2097674.3719394915,1.1234496185676086e-07,R_full
multistart,start_1,4.36446089848261,-2.162704465558068,2097674.3719394915,3.719271548358679e-06,R_full
multistart,start_2,4.364460898686506,-2.1627044656425283,2097674.3719394915,4.841353423661713e-05,R_full
multistart,start_3,4.3644608985314814,-2.162704467053778,2097674.3719394915,0.0010917348706737833,R_full
multistart,start_4,4.36446089850188,-2.1627044656077685,2097674.3719394915,2.3664602544260203e-05,R_full
multistart,start_5,4.364460898600692,-2.162704465755475,2097674.3719394915,8.374929916859802e-05,R_full
multistart,start_6,4.364460898788122,-2.162704465567597,2097674.371939492,0.0001562362053035095,R_full
multistart,start_7,4.364460898492347,-2.1627044655695773,2097674.3719394915,3.748416386968941e-08,R_full
multistart,start_8,4.364460898484786,-2.1627044656136314,2097674.371939492,3.6880043924524655e-05,R_full
multistart,start_9,4.364460898472204,-2.1627044655740093,2097674.3719394915,1.3790303865892016e-05,R_full
