method,success,a,b,NLL,NLL_per_trial,gradient_a,gradient_b,gradient_norm,hessian_min_eigenvalue,hessian_max_eigenvalue,hessian_positive_definite,iterations,function_evaluations,message,start_id,initial_a,initial_b,criterion
L-BFGS-B,True,2.651532079786367,-2.801793357028484,2298267.976319913,0.2660032379999899,6.721887621097267e-05,4.818898014491424e-05,8.27076485367164e-05,97139.8944662895,1947622.975828276,True,14,20,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0,-5.0,-5.0,R_mean
L-BFGS-B,True,2.6515320796203437,-2.801793356826907,2298267.976319913,0.2660032379999899,2.0993509679101408e-05,4.6609784476459026e-05,5.1119462610521304e-05,97139.89447910391,1947622.9759620489,True,15,17,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,1,-2.0,2.0,R_mean
L-BFGS-B,True,2.6515320797138253,-2.801793356989759,2298267.976319913,0.2660032379999899,4.05420723836869e-06,1.2496857380028814e-05,1.3138037932218864e-05,97139.8944708386,1947622.975930537,True,15,16,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2,0.0,0.0,R_mean
L-BFGS-B,True,2.6515320796258295,-2.8017933577218552,2298267.976319913,0.2660032379999899,-0.0007508598355343565,-0.0005833522664033808,0.0009508366628063107,97139.89445978071,1947622.9767462052,True,14,15,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,3,1.0,-1.0,R_mean
L-BFGS-B,True,2.651532079807456,-2.801793356733526,2298267.976319913,0.2660032379999899,0.0003521873150020838,0.00027574822161113843,0.00044729518952262666,97139.89447148232,1947622.9755267026,True,10,12,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,4,2.0,-2.0,R_mean
L-BFGS-B,True,2.65153207998961,-2.8017933571961575,2298267.976319913,0.2660032379999899,0.00019266999152023345,0.00010621939873090014,0.00022000974137333277,97139.89445228508,1947622.975594297,True,10,12,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,5,3.0,-3.0,R_mean
L-BFGS-B,True,2.651532079009449,-2.8017933562398936,2298267.9763199124,0.26600323799998987,-0.0002837875217664987,-6.892380770295858e-05,0.0002920374098957964,97139.89452296449,1947622.9765916136,True,12,32,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,6,5.0,-5.0,R_mean
L-BFGS-B,True,2.6515320799867084,-2.801793357409868,2298267.976319913,0.2660032379999899,2.729560947045684e-06,-4.7880086640361696e-05,4.7957827303289915e-05,97139.89444788691,1947622.9757894839,True,13,16,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,7,8.0,-8.0,R_mean
L-BFGS-B,True,2.651532079756129,-2.8017933570593074,2298267.9763199124,0.26600323799998987,-4.656612873077393e-10,1.2005330063402653e-09,1.2876800587915837e-09,97139.89446718647,1947622.9759125956,True,14,19,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,8,10.0,0.0,R_mean
L-BFGS-B,True,2.6515320798149435,-2.8017933571276457,2298267.976319913,0.2660032379999899,1.9049359252676368e-05,2.739157935138792e-06,1.924528706284114e-05,97139.89446271223,1947622.9758624786,True,15,19,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,9,1.0,5.0,R_mean
L-BFGS-B,True,3.042610980554645,-3.055167978820499,2005139.372256842,0.23207631623343078,-0.0003901195632352028,-0.00024616828522994183,0.00046129393912328325,75960.074945422,1519455.2827622034,True,12,18,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0,-5.0,-5.0,R_local
L-BFGS-B,True,3.042610969073382,-3.0551679598305594,2005139.3722568417,0.23207631623343075,0.0016318375455739442,0.003434328094954253,0.0038023023602729053,75960.07569105522,1519455.285349762,True,17,45,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,1,-2.0,2.0,R_local
L-BFGS-B,True,3.042610981133577,-3.0551679790788415,2005139.372256842,0.23207631623343078,-3.6519304558169097e-06,-9.393388609169051e-07,3.7708027725872605e-06,75960.07491818565,1519455.2821924496,True,15,17,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2,0.0,0.0,R_local
L-BFGS-B,True,3.0426109811829893,-3.0551679791856436,2005139.372256842,0.23207631623343078,-2.9869239369872957e-05,-3.2228674172074534e-05,4.394153956593365e-05,75960.07491460512,1519455.2821970661,True,14,15,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,3,1.0,-1.0,R_local
L-BFGS-B,True,3.042610981051894,-3.05516797888357,2005139.372256842,0.23207631623343078,5.2763325584237464e-05,6.23180931142997e-05,8.165484220859639e-05,75960.07492438203,1519455.2821730573,True,11,14,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,4,2.0,-2.0,R_local
L-BFGS-B,True,3.042610981147395,-3.0551679790929867,2005139.372256842,0.23207631623343078,-1.04046193882823e-09,-2.23008100874722e-09,2.460858051925226e-09,75960.07491741725,1519455.2821838632,True,5,8,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,5,3.0,-3.0,R_local
L-BFGS-B,True,3.042610985538805,-3.05516798117692,2005139.372256842,0.23207631623343078,0.0028446609485399676,0.0017835550625022734,0.003357553361173251,75960.07470897789,1519455.2779401718,True,11,16,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,6,5.0,-5.0,R_local
L-BFGS-B,True,3.042610981146827,-3.0551679790959185,2005139.372256842,0.23207631623343078,-2.60536398855038e-06,-2.2054737200960517e-06,3.4135078501256534e-06,75960.07491739694,1519455.2821864234,True,11,13,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,7,8.0,-8.0,R_local
L-BFGS-B,True,3.0426109800575203,-3.0551679801010554,2005139.3722568422,0.2320763162334308,-0.0017714552996039856,-0.001382439790177159,0.0022470410881779875,75960.07494654559,1519455.2841953286,True,13,18,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,8,10.0,0.0,R_local
L-BFGS-B,True,3.0426109810957005,-3.0551679790676407,2005139.372256842,0.23207631623343078,-3.291895336587913e-05,-2.0496103388722986e-05,3.877818645612694e-05,75960.07491988328,1519455.2822333076,True,14,18,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,9,1.0,5.0,R_local
L-BFGS-B,True,4.364460898492968,-2.1627044655701915,2097674.3719394915,0.24278638564114485,-1.43554643727839e-08,-1.1142401490360498e-07,1.1234496185676086e-07,67913.87326624061,911260.7996609368,True,15,22,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0,-5.0,-5.0,R_full
L-BFGS-B,True,4.36446089848261,-2.162704465558068,2097674.3719394915,0.24278638564114485,1.227970642503351e-06,3.5107077565044165e-06,3.719271548358679e-06,67913.87326665391,911260.7996612226,True,14,15,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,1,-2.0,2.0,R_full
L-BFGS-B,True,4.364460898686506,-2.1627044656425283,2097674.3719394915,0.24278638564114485,3.7720958061981946e-05,3.0347975553013384e-05,4.841353423661713e-05,67913.8732597798,911260.7996021826,True,14,15,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2,0.0,0.0,R_full
L-BFGS-B,True,4.3644608985314814,-2.162704467053778,2097674.3719394915,0.24278638564114485,-0.0005732283898396417,-0.0009291362875956111,0.0010917348706737833,67913.87325294211,911260.8001581917,True,12,13,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,3,1.0,-1.0,R_full
L-BFGS-B,True,4.36446089850188,-2.1627044656077685,2097674.3719394915,0.24278638564114485,-1.1813113815151155e-05,-2.0505212887655944e-05,2.3664602544260203e-05,67913.87326566319,911260.7996700946,True,13,14,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,4,2.0,-2.0,R_full
L-BFGS-B,True,4.364460898600692,-2.162704465755475,2097674.3719394915,0.24278638564114485,-3.6332661693450063e-05,-7.54578213673085e-05,8.374929916859802e-05,67913.87326145885,911260.799678471,True,12,13,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,5,3.0,-3.0,R_full
L-BFGS-B,True,4.364460898788122,-2.162704465567597,2097674.371939492,0.2427863856411449,0.00010216385271633044,0.00011820447980426252,0.0001562362053035095,67913.87325731083,911260.7995322198,True,12,13,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,6,5.0,-5.0,R_full
L-BFGS-B,True,4.364460898492347,-2.1627044655695773,2097674.3719394915,0.24278638564114485,1.560692908242345e-08,3.408058546483517e-08,3.748416386968941e-08,67913.8732662645,911260.799660993,True,15,16,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,7,8.0,-8.0,R_full
L-BFGS-B,True,4.364460898484786,-2.1627044656136314,2097674.371939492,0.2427863856411449,-1.9988750864285976e-05,-3.099334571743384e-05,3.6880043924524655e-05,67913.87326613368,911260.7996795282,True,11,14,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,8,10.0,0.0,R_full
L-BFGS-B,True,4.364460898472204,-2.1627044655740093,2097674.3719394915,0.24278638564114485,-8.639442967250943e-06,-1.0748604836408049e-05,1.3790303865892016e-05,67913.87326683913,911260.7996712512,True,13,15,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,9,1.0,5.0,R_full
