method,success,a,b,NLL,NLL_per_trial,gradient_a,gradient_b,gradient_norm,hessian_min_eigenvalue,hessian_max_eigenvalue,hessian_positive_definite,iterations,function_evaluations,message,criterion
BFGS,False,2.651532079773471,-2.801793357009199,2298267.976319913,0.2660032379999899,6.678655336145312e-05,5.063910793978721e-05,8.381385901412514e-05,97139.89446736214,1947622.9758354467,True,10,12,Desired error not necessarily achieved due to precision loss.,R_mean
L-BFGS-B,True,2.651532079807456,-2.801793356733526,2298267.976319913,0.2660032379999899,0.0003521873150020838,0.00027574822161113843,0.00044729518952262666,97139.89447148232,1947622.9755267026,True,10,12,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,R_mean
Nelder-Mead,True,2.651532131373261,-2.8017934319599744,2298267.976319913,0.2660032379999899,0.0037238699151203036,-0.008182926510926336,0.008990411193486043,97139.89022289036,1947622.9451791276,True,77,163,Optimization terminated successfully.,R_mean
Powell,True,2.651532077365935,-2.8017933374891424,2298267.9763199124,0.26600323799998987,0.013846468267729506,0.011799055428127758,0.018191822132080978,97139.89500631968,1947622.9630413917,True,4,255,Optimization terminated successfully.,R_mean
BFGS,True,3.042610981147304,-3.0551679790928845,2005139.372256842,0.23207631623343078,-1.882472133729607e-08,-2.892193151637912e-09,1.9045600926545507e-08,75960.07491742261,1519455.282183914,True,12,14,Optimization terminated successfully.,R_local
L-BFGS-B,True,3.042610981051894,-3.05516797888357,2005139.372256842,0.23207631623343078,5.2763325584237464e-05,6.23180931142997e-05,8.165484220859639e-05,75960.07492438203,1519455.2821730573,True,11,14,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,R_local
Nelder-Mead,True,3.0426109768799927,-3.05516798897193,2005139.372256842,0.23207631623343078,-0.01107975055128918,-0.00906782675156137,0.014317344525963078,75960.07494356524,1519455.2937864503,True,75,161,Optimization terminated successfully.,R_local
Powell,True,3.042610982499135,-3.055167971890244,2005139.3722568417,0.23207631623343075,0.006355104776957887,0.005382188253861386,0.008327983376911631,75960.07496949966,1519455.2759494528,True,5,257,Optimization terminated successfully.,R_local
BFGS,False,4.364460898455145,-2.162704465646558,2097674.371939492,0.2427863856411449,-4.316199920140207e-05,-6.366611341945827e-05,7.69176973979406e-05,67913.87326676334,911260.7997037708,True,12,15,Desired error not necessarily achieved due to precision loss.,R_full
L-BFGS-B,True,4.36446089850188,-2.1627044656077685,2097674.3719394915,0.24278638564114485,-1.1813113815151155e-05,-2.0505212887655944e-05,2.3664602544260203e-05,67913.87326566319,911260.7996700946,True,13,14,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,R_full
Nelder-Mead,True,4.364460912047109,-2.1627044650770717,2097674.3719394915,0.24278638564114485,0.004840062822040636,0.005671246784913819,0.007455819754842207,67913.87285921836,911260.7936204096,True,80,173,Optimization terminated successfully.,R_full
Powell,True,4.364432960761723,-2.1626923824752966,2097674.371986268,0.2427863856465588,-4.798577926427242,-3.35244855916244,5.853653684479898,67914.81933480021,911268.7125852585,True,613,45025,Optimization terminated successfully.,R_full
