graph_type,n,sigma,amplitude,repetition,edges,mean_degree,degree_std,degree_cv,trace_L,trace_L2,lambda2,lambda_max,tau_empirical,tau_spectral,tau_relative_error,pfa_empirical,pfa_spectral_at_emp_tau,pfa_spectral_at_spec_tau,pd_mc_emp_tau,pd_spectral_emp_tau,pd_error_emp_tau,pd_mc_spec_tau,pd_spectral_spec_tau,pd_error_spec_tau
star,15,0.15,1.0,0,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,2.6511506997580296,2.543638043315023,-0.04055320448317749,0.01,0.008364688867494863,0.010000000007983678,0.1288,0.13141893894126577,-0.002618938941265775,0.1413,0.14329134544859545,-0.001991345448595444
star,15,0.15,1.0,1,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,2.621252462699206,2.543638043315023,-0.029609669609717944,0.01,0.00878985751959338,0.010000000007983678,0.1405,0.1345056002983916,0.005994399701608422,0.1494,0.14329134544859545,0.006108654551404552
star,15,0.15,1.0,2,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,2.4478936211247575,2.543638043315023,0.03911298324568249,0.01,0.011731628963467355,0.010000000007983678,0.1558,0.15589290719970134,-9.290719970134198e-05,0.1433,0.14329134544859545,8.654551404557731e-06
star,15,0.15,1.0,3,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,2.5058541166850503,2.543638043315023,0.015078262688315055,0.01,0.010649674444730028,0.010000000007983678,0.1442,0.14801317845581258,-0.0038131784558125825,0.1405,0.14329134544859545,-0.002791345448595439
star,15,0.15,1.0,4,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,2.6295197767183285,2.543638043315023,-0.03266061512968984,0.01,0.008670115176371063,0.010000000007983678,0.1345,0.1336364478189056,0.0008635521810944069,0.1431,0.14329134544859545,-0.000191345448595448
star,15,0.15,1.5,0,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,2.5723067874437997,2.543638043315023,-0.011145149664385774,0.01,0.009534279312860161,0.010000000007983678,0.6329,0.6317114155239368,0.0011885844760631814,0.6511,0.6490264806786924,0.0020735193213076153
star,15,0.15,1.5,1,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,2.5096357388468675,2.543638043315023,0.013548701089098735,0.01,0.010582742495868602,0.010000000007983678,0.679,0.6695276118223465,0.009472388177653501,0.6584,0.6490264806786924,0.009373519321307588
star,15,0.15,1.5,2,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,2.530240427805976,2.543638043315023,0.00529499701364922,0.01,0.010225587432318495,0.010000000007983678,0.6621,0.6571129186616989,0.004987081338301169,0.6535,0.6490264806786924,0.004473519321307573
star,15,0.15,1.5,3,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,2.58747768749313,2.543638043315023,-0.016943003756133064,0.01,0.009296865642726582,0.010000000007983678,0.6232,0.6225551992526135,0.000644800747386487,0.6498,0.6490264806786924,0.0007735193213076474
star,15,0.15,1.5,4,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,2.459644793049179,2.543638043315023,0.034148528479886336,0.01,0.011503494180365337,0.010000000007983678,0.7022,0.6994340745366295,0.002765925463370511,0.6538,0.6490264806786924,0.004773519321307651
star,15,0.15,2.0,0,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,2.548805925268204,2.543638043315023,-0.0020275698129652814,0.01,0.009914350374356395,0.010000000007983678,0.9996,0.9990974559327228,0.000502544067277233,0.9996,0.9991288210525332,0.00047117894746684374
star,15,0.15,2.0,1,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,2.563956736404487,2.543638043315023,-0.007924741007119008,0.01,0.009667577466483612,0.010000000007983678,0.9995,0.9989996854393081,0.0005003145606919945,0.9997,0.9991288210525332,0.0005711789474668327
star,15,0.15,2.0,2,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,2.4285470747178937,2.543638043315023,0.047390874072514654,0.01,0.012117381441593023,0.010000000007983678,0.9999,0.9996189136159115,0.0002810863840885247,0.9992,0.9991288210525332,7.117894746677678e-05
star,15,0.15,2.0,3,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,2.5699577684144113,2.543638043315023,-0.010241306461477992,0.01,0.009571587754083677,0.010000000007983678,0.9987,0.9989584527776841,-0.0002584527776841039,0.9989,0.9991288210525332,-0.00022882105253319018
star,15,0.15,2.0,4,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,2.5294717044726447,2.543638043315023,0.005600512872837991,0.01,0.01023868749861001,0.010000000007983678,0.9994,0.9992099203433388,0.00019007965666117954,0.9992,0.9991288210525332,7.117894746677678e-05
star,15,0.15,3.0,0,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,2.6344347392848158,2.543638043315023,-0.03446534264668922,0.01,0.008599724940384856,0.010000000007983678,1.0,0.9999999999999987,1.3322676295501878e-15,1.0,0.9999999999999996,4.440892098500626e-16
