graph_type,n,sigma,amplitude,tau_empirical_mean,tau_spectral_mean,tau_relative_error_mean,pfa_empirical_mean,pfa_spectral_emp_mean,pfa_spectral_spec_mean,pd_mc_emp_mean,pd_spectral_emp_mean,pd_mc_spec_mean,pd_spectral_spec_mean,degree_cv_mean
random_geometric,15,0.15,1.0,6.970655768302622,6.930794800760135,-0.006741643131093819,0.01,0.009469114232440123,0.009999999974735718,0.94346,0.9415314551518602,0.94568,0.9435830368240072,0.23777226198057205
random_geometric,15,0.15,1.5,7.008010155481394,7.049407129929402,0.005702201919028952,0.01,0.010501301630174108,0.009999999975203223,0.9975799999999999,0.9974398256413008,0.9975200000000001,0.9973551323483625,0.26297646532774477
random_geometric,15,0.15,2.0,6.770288570468269,6.749239905035937,-0.002803752157333883,0.01,0.009764598127227898,0.00999999998648724,1.0,0.9999999823014696,1.0,0.9999999814655419,0.2566874482662628
random_geometric,15,0.15,3.0,7.320864124507449,7.3194086472205795,0.00034497368431680943,0.01,0.010052963989757236,0.009999999973303308,1.0,0.9999999999870489,1.0,0.9999999999870773,0.23271525970144702
random_geometric,15,0.25,1.0,18.10568407991635,18.023592620921185,-0.004851954492073602,0.01,0.009615054869464845,0.009999999988110065,0.3851,0.38693141311517276,0.39014000000000004,0.39199842352728637,0.29222985131704454
random_geometric,15,0.25,1.5,17.657908732649084,17.632893956930815,-0.0018621391010640773,0.01,0.009870602496466452,0.009999999966539764,0.86172,0.8627428947299386,0.86366,0.8644846445295332,0.26950446044290804
random_geometric,15,0.25,2.0,17.997813815570602,17.972648765581717,-0.0021184161833956725,0.01,0.009881541236613889,0.009999999984776863,0.991,0.9914348685055974,0.991,0.9912823586855952,0.2560170013298758
random_geometric,15,0.25,3.0,18.214912636754114,18.153793079378445,-0.0027653385702300693,0.01,0.009817081203536093,0.010000000029773904,1.0,0.9999996243276925,1.0,0.9999996140603635,0.2500343912024784
random_geometric,15,0.35,1.0,36.1409862194111,36.35992825850026,0.00515932270097595,0.01,0.010482526105214019,0.009999999986724028,0.15026,0.1474368695111398,0.14598,0.14377018432105235,0.2611535673860816
random_geometric,15,0.35,1.5,40.755475026954436,40.633656511533026,-0.003136461382389214,0.01,0.00974995512156629,0.009999999968286644,0.49214,0.4905224149772436,0.49588,0.49388335467271227,0.24910007094687775
random_geometric,15,0.35,2.0,34.10332987094449,34.43819312982717,0.0099110920731235,0.01,0.010881293919788648,0.009999999987959451,0.82934,0.8289162743590144,0.8229599999999999,0.822563831741647,0.2803443369463221
random_geometric,15,0.35,3.0,36.34469186893222,36.764486758999645,0.011676594118234237,0.01,0.011054611669101221,0.009999999982641717,0.9949999999999999,0.9943253868934303,0.99474,0.9941695571682068,0.24090765404914105
random_geometric,30,0.15,1.0,16.463591506759474,16.587478891485855,0.007664998358865162,0.01,0.010896828707403517,0.00999999999996165,0.85028,0.8502013362417609,0.84436,0.8442647857753176,0.30769756287185945
random_geometric,30,0.15,1.5,17.79467214045068,17.75790801244049,-0.002352505556158499,0.01,0.00979580855961506,0.009999999999965103,0.9956400000000001,0.9955227636631309,0.9955,0.9953772847924011,0.30767306513470044
random_geometric,30,0.15,2.0,16.89349485452349,17.023531745295728,0.007834041251112528,0.01,0.01091815999727569,0.009999999999928188,0.9998400000000001,0.9998552736276363,0.9997999999999999,0.9998387646355431,0.3248698438506599
random_geometric,30,0.15,3.0,16.585288723531995,16.665614584597535,0.004802407774675431,0.01,0.010564825237515863,0.009999999999970833,1.0,0.9999999999677532,1.0,0.9999999999660509,0.30082568096479456
random_geometric,30,0.25,1.0,45.573292411753556,45.69974610516461,0.002696491416761379,0.01,0.010314823001637751,0.009999999999956054,0.26738,0.26605413552280444,0.26326,0.2628204343059831,0.3065019223245538
random_geometric,30,0.25,1.5,46.357856364107775,46.27680976209278,-0.0018546673199246854,0.01,0.009821549879752079,0.00999999999993897,0.72162,0.7219157532205461,0.7242200000000001,0.7242662356175502,0.3197364431086739
random_geometric,30,0.25,2.0,42.608381615880674,42.47438076609714,-0.0028260597138352766,0.01,0.009746108926942543,0.009999999999957687,0.9557,0.9559035315860058,0.9567,0.957191908169204,0.31635419810409743
random_geometric,30,0.25,3.0,45.50377837084018,45.46675616965902,-0.0007285002720377762,0.01,0.009938338492476972,0.00999999999992549,0.9975799999999999,0.9975190229546678,0.99752,0.9974538972518543,0.3259507104724982
random_geometric,30,0.35,1.0,93.90188603869974,93.80904716199484,-0.0011237099839556317,0.01,0.009887986105049063,0.009999999999915877,0.089,0.09011643037584417,0.08940000000000001,0.0907845687637596,0.32039879746045735
random_geometric,30,0.35,1.5,97.72152001979029,98.46841039089341,0.00782809407824937,0.01,0.010937259258120103,0.009999999999937437,0.33892,0.3393801239971932,0.32808000000000004,0.329041525060644,0.3090787844702675
random_geometric,30,0.35,2.0,96.24952604829593,96.165401967594,-0.0010293052481179419,0.01,0.009899167463679004,0.009999999999967335,0.6827799999999999,0.6814566427561175,0.68442,0.6828156399542968,0.295606571184278
random_geometric,30,0.35,3.0,96.05380294571299,96.13922692766116,0.000815696752318394,0.01,0.010105532837966103,0.009999999999956011,0.9724600000000001,0.9730062571784799,0.9725199999999999,0.9728408556033182,0.3068684925901143
random_geometric,60,0.15,1.0,40.8732903084954,40.77157988199956,-0.0025608215108550553,0.01,0.009630759196760852,0.010000000027752642,0.68372,0.6803935398687482,0.68788,0.6842321534349767,0.3400272398860336
random_geometric,60,0.15,1.5,39.69058083760088,39.76364244924956,0.002048345672688101,0.01,0.010356812399269522,0.009999999929622338,0.97266,0.9723448500723965,0.9721399999999999,0.9718081987544267,0.3336852394478491
random_geometric,60,0.15,2.0,41.66322410874218,41.60724255660762,-0.00122519449194204,0.01,0.00983192597157525,0.010000000000038756,0.99726,0.9972167244374495,0.99738,0.9973247132737544,0.3272913080327168
random_geometric,60,0.15,3.0,41.17427533580526,41.12509485358244,-0.0007803363593334514,0.01,0.00991323293709182,0.010000000000144903,1.0,0.9999999987809499,1.0,0.999999998995494,0.31536505365251755
random_geometric,60,0.25,1.0,114.33299268111075,114.27425354145768,-0.0006498646149243264,0.01,0.009921176009860245,0.00999999997325648,0.16086,0.16078378764399573,0.16160000000000002,0.16154240445543025,0.3279534055033482
random_geometric,60,0.25,1.5,110.02752191554218,110.604453379781,0.005578244960862187,0.01,0.010968984423667606,0.01000000000002933,0.56084,0.5632720673082968,0.5511,0.5533363117093539,0.33274637827721165
