pattern,detector,mean_PFA,mean_PD,median_PD,mean_rank,winner_fraction,mean_graph_energy
cluster,euclidean,0.010110416666666667,0.6725388888888889,0.85995,1.6851851851851851,0.2222222222222222,25.975965711805557
cluster,laplacian,0.010025,0.5604490740740741,0.5237624999999999,3.111111111111111,0.07407407407407407,25.975965711805557
cluster,mahalanobis,0.010035416666666666,0.6684791666666667,0.8527875,1.837962962962963,0.09259259259259259,25.975965711805557
cluster,max_abs,0.010265972222222221,0.5845546296296297,0.6883375,3.365740740740741,0.0,25.975965711805557
constant,euclidean,0.010110416666666667,0.6713891203703704,0.853375,1.4444444444444444,0.3055555555555556,5.302850490630275e-16
constant,laplacian,0.010025,0.009959953703703704,0.0099875,4.0,0.0,5.302850490630275e-16
constant,mahalanobis,0.010035416666666666,0.6195965277777779,0.7224875,1.7037037037037037,0.1111111111111111,5.302850490630275e-16
constant,max_abs,0.010265972222222221,0.38691550925925927,0.2121875,2.8518518518518516,0.0,5.302850490630275e-16
edge_bipolar,euclidean,0.010110416666666667,0.6729201388888889,0.8609875,3.2268518518518516,0.0,62.42578124999999
edge_bipolar,laplacian,0.010025,0.7555266203703703,0.9634625,2.259259259259259,0.2037037037037037,62.42578124999999
edge_bipolar,mahalanobis,0.010035416666666666,0.7199840277777777,0.9607125,2.560185185185185,0.09259259259259259,62.42578124999999
edge_bipolar,max_abs,0.010265972222222221,0.7513712962962963,0.9069875000000001,1.9537037037037037,0.25,62.42578124999999
fiedler,euclidean,0.010110416666666667,0.6738386574074074,0.8577125000000001,1.7916666666666667,0.24074074074074073,7.127992673144925
fiedler,laplacian,0.010025,0.27337569444444443,0.04745,3.875,0.0,7.127992673144925
fiedler,mahalanobis,0.010035416666666666,0.6609217592592592,0.8062624999999999,1.9212962962962963,0.09259259259259259,7.127992673144925
fiedler,max_abs,0.010265972222222221,0.6252164351851852,0.6677375000000001,2.412037037037037,0.1388888888888889,7.127992673144925
high_frequency,euclidean,0.010110416666666667,0.6729840277777778,0.8628875,3.3333333333333335,0.0,110.41632089553993
high_frequency,laplacian,0.010025,0.8561245370370371,0.9969250000000001,1.587962962962963,0.5,110.41632089553993
high_frequency,mahalanobis,0.010035416666666666,0.7311148148148148,0.987725,2.7916666666666665,0.0,110.41632089553993
high_frequency,max_abs,0.010265972222222221,0.7830268518518518,0.9583375,2.287037037037037,0.018518518518518517,110.41632089553993
point,euclidean,0.010110416666666667,0.6730868055555556,0.8604375,2.7175925925925926,0.0,29.350260416666668
point,laplacian,0.010025,0.4940104166666667,0.38797499999999996,3.537037037037037,0.0,29.350260416666668
point,mahalanobis,0.010035416666666666,0.7039340277777777,0.9153125,2.3055555555555554,0.0,29.350260416666668
point,max_abs,0.010265972222222221,0.8260428240740741,0.96975,1.4398148148148149,0.6203703703703703,29.350260416666668
