graph_type,n,noise_model,sigma,amplitude,pattern,repetition,detector,signal_location,alpha,threshold,pfa,pd,mean_degree,degree_cv,trace_L,trace_L2,lambda2,lambda_max,signal_norm,signal_euclidean_energy,signal_graph_energy,signal_mahalanobis_energy,signal_max_abs,rayleigh_quotient
star,20,iid,0.15,0.75,constant,0,laplacian,all,0.01,3.4865344691875135,0.0085,0.0068,1.9,2.0647416048350564,38.0,418.0,0.999999999999999,20.0,0.7499999999999999,0.5624999999999999,3.7238012298709096e-17,25.0,0.16770509831248423,6.620091075326063e-17
star,20,iid,0.15,0.75,constant,0,euclidean,all,0.01,0.8407728255129566,0.0105,0.7197,1.9,2.0647416048350564,38.0,418.0,0.999999999999999,20.0,0.7499999999999999,0.5624999999999999,3.7238012298709096e-17,25.0,0.16770509831248423,6.620091075326063e-17
star,20,iid,0.15,0.75,constant,0,max_abs,all,0.01,0.5219239770172388,0.0113,0.1651,1.9,2.0647416048350564,38.0,418.0,0.999999999999999,20.0,0.7499999999999999,0.5624999999999999,3.7238012298709096e-17,25.0,0.16770509831248423,6.620091075326063e-17
star,20,iid,0.15,0.75,constant,0,mahalanobis,all,0.01,37.36768113390918,0.0105,0.7197,1.9,2.0647416048350564,38.0,418.0,0.999999999999999,20.0,0.7499999999999999,0.5624999999999999,3.7238012298709096e-17,25.0,0.16770509831248423,6.620091075326063e-17
star,20,iid,0.15,0.75,fiedler,0,laplacian,fiedler,0.01,3.4865344691875135,0.0085,0.0165,1.9,2.0647416048350564,38.0,418.0,0.999999999999999,20.0,0.7500000000000001,0.5625000000000001,0.5625000000000001,25.000000000000004,0.5244468746596721,1.0
star,20,iid,0.15,0.75,fiedler,0,euclidean,fiedler,0.01,0.8407728255129566,0.0105,0.7177,1.9,2.0647416048350564,38.0,418.0,0.999999999999999,20.0,0.7500000000000001,0.5625000000000001,0.5625000000000001,25.000000000000004,0.5244468746596721,1.0
star,20,iid,0.15,0.75,fiedler,0,max_abs,fiedler,0.01,0.5219239770172388,0.0113,0.692,1.9,2.0647416048350564,38.0,418.0,0.999999999999999,20.0,0.7500000000000001,0.5625000000000001,0.5625000000000001,25.000000000000004,0.5244468746596721,1.0
star,20,iid,0.15,0.75,fiedler,0,mahalanobis,fiedler,0.01,37.36768113390918,0.0105,0.7177,1.9,2.0647416048350564,38.0,418.0,0.999999999999999,20.0,0.7500000000000001,0.5625000000000001,0.5625000000000001,25.000000000000004,0.5244468746596721,1.0
star,20,iid,0.15,0.75,cluster,0,laplacian,18;0;1;2,0.01,3.4865344691875135,0.0085,0.3452,1.9,2.0647416048350564,38.0,418.0,0.999999999999999,20.0,0.75,0.5625,2.25,24.999999999999996,0.375,4.0
star,20,iid,0.15,0.75,cluster,0,euclidean,18;0;1;2,0.01,0.8407728255129566,0.0105,0.7283,1.9,2.0647416048350564,38.0,418.0,0.999999999999999,20.0,0.75,0.5625,2.25,24.999999999999996,0.375,4.0
star,20,iid,0.15,0.75,cluster,0,max_abs,18;0;1;2,0.01,0.5219239770172388,0.0113,0.5169,1.9,2.0647416048350564,38.0,418.0,0.999999999999999,20.0,0.75,0.5625,2.25,24.999999999999996,0.375,4.0
star,20,iid,0.15,0.75,cluster,0,mahalanobis,18;0;1;2,0.01,37.36768113390918,0.0105,0.7283,1.9,2.0647416048350564,38.0,418.0,0.999999999999999,20.0,0.75,0.5625,2.25,24.999999999999996,0.375,4.0
star,20,iid,0.15,0.75,point,0,laplacian,6,0.01,3.4865344691875135,0.0085,0.0224,1.9,2.0647416048350564,38.0,418.0,0.999999999999999,20.0,0.75,0.5625,0.5625,24.999999999999996,0.75,1.0
star,20,iid,0.15,0.75,point,0,euclidean,6,0.01,0.8407728255129566,0.0105,0.7204,1.9,2.0647416048350564,38.0,418.0,0.999999999999999,20.0,0.75,0.5625,0.5625,24.999999999999996,0.75,1.0
star,20,iid,0.15,0.75,point,0,max_abs,6,0.01,0.5219239770172388,0.0113,0.9361,1.9,2.0647416048350564,38.0,418.0,0.999999999999999,20.0,0.75,0.5625,0.5625,24.999999999999996,0.75,1.0
star,20,iid,0.15,0.75,point,0,mahalanobis,6,0.01,37.36768113390918,0.0105,0.7204,1.9,2.0647416048350564,38.0,418.0,0.999999999999999,20.0,0.75,0.5625,0.5625,24.999999999999996,0.75,1.0
star,20,iid,0.15,0.75,edge_bipolar,0,laplacian,0-2,0.01,3.4865344691875135,0.0085,0.8673,1.9,2.0647416048350564,38.0,418.0,0.999999999999999,20.0,0.7499999999999999,0.5624999999999999,6.1875,24.999999999999996,0.5303300858899106,11.000000000000002
star,20,iid,0.15,0.75,edge_bipolar,0,euclidean,0-2,0.01,0.8407728255129566,0.0105,0.7194,1.9,2.0647416048350564,38.0,418.0,0.999999999999999,20.0,0.7499999999999999,0.5624999999999999,6.1875,24.999999999999996,0.5303300858899106,11.000000000000002
star,20,iid,0.15,0.75,edge_bipolar,0,max_abs,0-2,0.01,0.5219239770172388,0.0113,0.7723,1.9,2.0647416048350564,38.0,418.0,0.999999999999999,20.0,0.7499999999999999,0.5624999999999999,6.1875,24.999999999999996,0.5303300858899106,11.000000000000002
star,20,iid,0.15,0.75,edge_bipolar,0,mahalanobis,0-2,0.01,37.36768113390918,0.0105,0.7194,1.9,2.0647416048350564,38.0,418.0,0.999999999999999,20.0,0.7499999999999999,0.5624999999999999,6.1875,24.999999999999996,0.5303300858899106,11.000000000000002
